id,type,line,block,day,sex,wing,leg,pupa
C-05-17-362-B-1-M-063,ct,362,7,1,M,13.85784469,13.51536584,
C-05-17-362-B-0-M-053,ct,362,7,0,M,13.66066155,13.35798117,
C-05-17-362-A-1-F-012,ct,362,7,1,F,14.05536097,13.71098282,
C-05-17-362-B-1-F-087,ct,362,7,1,F,14.24618717,13.89320954,
C-02-17-208-A-2-M-050,ct,208,5,2,M,13.47705632,13.28384838,13.85140164
C-03-17-437-B-2-F-099,ct,437,6,2,F,13.64667632,13.49190231,13.85757305
C-05-17-437-A-2-M-050,ct,437,8,2,M,13.38181278,13.07780584,13.86517827
C-03-17-362-B-2-M-096,ct,362,6,2,M,13.22098951,13.11815058,13.8653305
C-04-17-208-B-2-M-098,ct,208,7,2,M,13.45065697,13.26092926,13.89183433
C-04-17-375-B-2-F-091,ct,375,7,2,F,13.66999253,13.39591752,13.92274599
C-04-17-208-B-1-F-072,ct,208,7,1,F,13.54943132,13.41125885,13.92372711
C-03-17-437-B-2-F-100,ct,437,6,2,F,13.45908201,13.17278988,13.92521376
C-02-17-437-B-2-M-091,ct,437,5,2,M,13.46681059,13.28625194,13.93377523
C-01-17-375-A-2-F-288,ct,375,12,2,F,13.77915057,13.5445056,13.93671139
C-01-17-362-B-2-M-133,ct,362,4,2,M,13.53300215,13.26652871,13.94182584
C-02-17-437-B-2-M-094,ct,437,5,2,M,13.33008234,13.1288092,13.94450351
C-03-17-208-B-2-M-100,ct,208,6,2,M,13.39814036,13.1848739,13.94894876
C-03-17-208-B-2-F-097,ct,208,6,2,F,13.3773226,13.24140229,13.95060958
C-04-17-375-B-2-F-092,ct,375,7,2,F,13.59550632,13.38114361,13.95432897
C-02-17-437-B-2-F-100,ct,437,5,2,F,13.52773595,13.27518725,13.95878771
C-03-17-362-A-2-M-046,ct,362,6,2,M,13.5385409,13.37118474,13.96134704
C-04-17-380-B-2-F-093,ct,380,7,2,F,13.68507334,13.3182873,13.96916022
C-01-17-362-B-2-M-120,ct,362,4,2,M,13.41217383,13.21898876,13.96977272
C-04-17-375-B-2-M-097,ct,375,7,2,M,13.53839737,13.25639622,13.97267466
C-01-17-208-A-1-F-040,ct,208,4,1,F,13.96165902,13.68962776,13.97354592
C-05-17-437-B-1-F-073,ct,437,8,1,F,13.55368699,13.35645931,13.97370974
C-05-17-380-B-0-M-066,ct,380,8,0,M,13.9554264,13.71036022,13.97493092
C-04-17-437-B-2-M-071,ct,437,7,2,M,13.41700165,13.32604954,13.97528065
C-04-17-375-A-2-M-050,ct,375,7,2,M,13.4200584,13.36141323,13.97853657
C-04-17-437-A-1-M-1039,ct,437,10,1,M,13.62729824,13.34489838,13.97961109
C-03-17-208-B-2-M-099,ct,208,6,2,M,13.41645318,13.175866,13.98002196
C-05-17-437-B-1-M-091,ct,437,8,1,M,13.57098222,13.35595881,13.98137827
C-04-17-437-B-2-M-069,ct,437,7,2,M,13.52866627,13.3169215,13.98933753
C-03-17-208-A-2-M-046,ct,208,6,2,M,13.54181607,13.35671366,13.99405268
C-05-17-437-A-1-F-023,ct,437,8,1,F,13.76199617,13.4665852,13.99810214
C-09-17-362-B-2-M-4022,ct,362,10,2,M,13.4997749,13.17954275,13.99959017
C-09-17-375-B-1-F-5763,ct,375,10,1,F,13.55173458,13.22422615,13.99989669
C-04-17-362-B-2-M-098,ct,362,8,2,M,13.37447309,13.3568646,14.00311208
C-09-17-208-B-2-F-5211,ct,208,10,2,F,,13.63391837,14.01232094
C-04-17-208-B-2-F-095,ct,208,7,2,F,13.69585863,13.31625468,14.012353
C-04-17-380-B-1-F-413,ct,380,13,1,F,14.16964237,13.76672885,14.01523482
C-04-17-208-B-1-M-080,ct,208,7,1,M,13.59381995,13.38156728,14.01623169
C-03-17-362-B-2-M-097,ct,362,6,2,M,13.52766901,13.11418985,14.01691101
C-04-17-375-B-1-M-088,ct,375,7,1,M,13.57872918,13.34644043,14.01985957
C-05-17-362-A-2-F-020,ct,362,7,2,F,13.51780293,,14.02060166
C-09-17-380-B-2-M-6074,ct,380,10,2,M,13.52474119,13.19485094,14.02078514
C-09-17-380-B-2-M-5712,ct,380,10,2,M,13.27678328,13.29058398,14.02306503
C-09-17-362-B-2-M-4033,ct,362,10,2,M,13.48831758,13.29805252,14.02669714
C-04-17-375-B-1-M-082,ct,375,7,1,M,13.63131641,13.39309517,14.02676194
C-04-17-375-B-1-M-090,ct,375,7,1,M,13.58079898,13.30658832,14.02761314
C-09-17-362-B-2-M-4032,ct,362,10,2,M,13.5551558,13.34516888,14.02851501
C-04-17-437-B-1-F-087,ct,437,7,1,F,13.58041372,13.35807117,14.02872494
C-04-17-437-A-1-M-1024,ct,437,10,1,M,13.70819391,13.48879553,14.02887132
C-03-17-208-A-2-M-050,ct,208,6,2,M,13.38715914,13.06962895,14.03060448
C-05-17-362-A-2-M-039,ct,362,7,2,M,13.55149709,13.12626511,14.03257567
C-04-17-437-B-1-M-094,ct,437,7,1,M,13.81350545,13.65551544,14.03394539
C-04-17-375-A-2-M-046,ct,375,7,2,M,13.5166168,13.1745071,14.03492171
C-09-17-362-B-2-M-4020,ct,362,10,2,M,13.4773897,13.29559541,14.03759562
C-04-17-362-B-1-F-074,ct,362,8,1,F,14.06903277,13.70418934,14.03972922
C-02-17-437-B-2-M-092,ct,437,5,2,M,13.51119762,13.38472374,14.04009255
C-05-17-208-B-2-M-097,ct,208,8,2,M,13.56965414,13.27225266,14.04038418
C-04-17-208-A-2-M-048,ct,208,7,2,M,13.62939493,13.45431391,14.04099339
C-04-17-437-B-1-F-097,ct,437,7,1,F,13.63658602,13.3496775,14.04332178
C-05-17-437-B-1-M-100,ct,437,8,1,M,13.58444496,13.44183452,14.04460307
C-04-17-375-B-1-F-080,ct,375,7,1,F,13.70693544,13.38143311,14.04679884
C-05-17-437-B-1-F-066,ct,437,8,1,F,13.54887648,13.41137929,14.04742532
C-04-17-375-B-2-F-093,ct,375,7,2,F,13.72448963,13.37072289,14.04794889
C-05-17-208-B-2-F-092,ct,208,8,2,F,13.58142726,13.24423902,14.0498214
C-09-17-208-B-2-M-5213,ct,208,10,2,M,13.54160923,13.35892222,14.05162809
C-05-17-437-A-2-F-024,ct,437,8,2,F,13.67373683,13.28058496,14.05381883
C-09-17-208-B-2-M-5217,ct,208,10,2,M,13.52005663,13.30685555,14.05411024
C-04-17-375-A-2-F-045,ct,375,7,2,F,13.75553813,13.36868413,14.05487778
C-03-17-437-A-2-M-045,ct,437,6,2,M,13.47397852,13.36159769,14.05633434
C-09-17-380-B-2-M-6073,ct,380,10,2,M,13.46956047,13.16556189,14.05703908
C-02-17-437-B-2-F-099,ct,437,5,2,F,13.59940679,13.27727929,14.05974473
C-09-17-362-B-2-F-4003,ct,362,10,2,F,13.71613841,13.36166093,14.06104577
C-05-17-437-A-1-M-038,ct,437,8,1,M,13.47730738,13.35749966,14.06148752
C-01-17-208-B-1-M-038,ct,208,4,1,M,13.88494613,13.74126516,14.06181
C-02-17-437-B-2-M-093,ct,437,5,2,M,13.5617757,13.36006276,14.0625427
