id,line,block,day,sex,wing,leg,pupa
021-A-0-F-085,21,6,0,F,14.23039714,13.93252568,14.70778736
021-A-0-F-086,21,6,0,F,13.99866593,13.65442297,14.43094568
021-A-0-F-087,21,6,0,F,13.91894131,13.56493483,14.46734473
021-A-0-F-088,21,6,0,F,13.93391207,13.75648465,14.42147119
021-A-0-F-089,21,6,0,F,14.21065863,13.86338692,14.66176282
021-A-0-F-090,21,6,0,F,14.14302854,13.83357077,14.61626464
021-A-0-F-091,21,6,0,F,13.92379799,13.77794007,14.5306147
021-A-0-F-092,21,6,0,F,13.88298508,13.55149916,14.29691142
021-A-0-F-093,21,6,0,F,13.83490232,13.32502516,14.30700732
021-A-0-F-095,21,6,0,F,13.81708632,13.33393903,14.31634444
021-A-0-M-094,21,6,0,M,13.71937712,13.46650209,14.15370864
021-A-0-M-096,21,6,0,M,14.0998651,13.91225262,14.77584625
021-A-0-M-097,21,6,0,M,14.10805778,13.77006901,14.59720842
021-A-0-M-098,21,6,0,M,13.82593404,13.66543513,14.34609115
021-A-0-M-099,21,6,0,M,14.10675154,13.89305563,14.61103762
021-A-0-M-100,21,6,0,M,14.0949989,13.91134155,14.73124967
021-A-0-M-101,21,6,0,M,14.07418649,13.96836939,14.70356497
021-A-0-M-102,21,6,0,M,14.03897326,13.88277272,14.64542226
021-A-1-F-024,21,6,1,F,14.13346089,13.84522867,14.61652291
021-A-1-F-026,21,6,1,F,14.26957788,13.97287967,14.76859115
021-A-1-F-029,21,6,1,F,14.05383509,13.65773819,14.40740169
021-A-1-F-030,21,6,1,F,14.05206459,13.75057512,
021-A-1-F-031,21,6,1,F,14.13415554,,14.56621558
021-A-1-F-034,21,6,1,F,13.7610794,13.40372121,14.09780307
021-A-1-F-035,21,6,1,F,14.03696949,13.61458174,14.39545949
021-A-1-F-036,21,6,1,F,14.18696376,13.87616932,14.59872925
021-A-1-F-038,21,6,1,F,14.06298217,13.76604158,14.63870472
021-A-1-F-039,21,6,1,F,14.20213394,13.90446852,14.66706032
021-A-1-F-044,21,6,1,F,14.04433315,13.71269069,14.46910814
021-A-1-F-045,21,6,1,F,14.17040071,13.82203989,14.62537207
021-A-1-F-046,21,6,1,F,14.18683478,13.90177129,14.70582165
021-A-1-F-047,21,6,1,F,14.12594678,13.76011564,14.49254989
021-A-1-F-049,21,6,1,F,14.14881994,13.82295269,
021-A-1-F-050,21,6,1,F,14.15768934,13.93687274,14.63253591
021-A-1-F-051,21,6,1,F,13.96086466,13.71709541,14.48455454
021-A-1-F-052,21,6,1,F,13.98596616,13.6429025,
021-A-1-M-022,21,6,1,M,13.91325232,13.80135136,14.40703247
021-A-1-M-023,21,6,1,M,13.82839717,13.68765938,14.41822715
021-A-1-M-025,21,6,1,M,13.9704712,13.79307276,14.5040995
021-A-1-M-027,21,6,1,M,13.86315816,13.64664058,14.41854197
021-A-1-M-028,21,6,1,M,13.8145546,13.63715818,14.26726356
021-A-1-M-032,21,6,1,M,13.90220005,13.71543208,14.4778455
021-A-1-M-033,21,6,1,M,13.8594394,13.68978708,14.40785549
021-A-1-M-037,21,6,1,M,13.93498372,13.80159566,14.58812106
021-A-1-M-040,21,6,1,M,13.88806561,13.70597803,14.36230936
021-A-1-M-041,21,6,1,M,13.99343831,13.82522294,14.57022945
021-A-1-M-042,21,6,1,M,13.96255548,13.76904577,14.47959926
021-A-1-M-043,21,6,1,M,13.92723081,13.80564667,14.54040229
021-A-1-M-048,21,6,1,M,13.98128428,13.78019641,14.40594286
021-A-2-F-019,21,6,2,F,13.51318323,13.11144935,14.00149105
021-A-2-F-020,21,6,2,F,13.75773917,13.36256689,14.13663078
021-A-2-M-016,21,6,2,M,13.52609672,13.27759757,14.06048885
021-A-2-M-017,21,6,2,M,13.58989132,13.401797,14.0732787
021-A-2-M-018,21,6,2,M,13.53605205,,14.04971996
021-A-2-M-021,21,6,2,M,13.47086525,13.32573837,14.08818253
021-B-0-F-001,21,6,0,F,14.17558492,13.74428708,14.55150489
021-B-0-F-006,21,6,0,F,14.273976,13.95175848,14.69592059
021-B-0-F-008,21,6,0,F,14.02082247,13.71527101,14.39548236
