"","id","line","block","day","sex","wing","leg","pupa","group","pupa_noblock"
"1","021-A-0-F-085","L21","B6","D0","F",14.23039714,13.93252568,14.70778736,"L21_F_D0",0.310649459085095
"2","021-A-0-F-086","L21","B6","D0","F",13.99866593,13.65442297,14.43094568,"L21_F_D0",0.0338077790827288
"3","021-A-0-F-087","L21","B6","D0","F",13.91894131,13.56493483,14.46734473,"L21_F_D0",0.0702068290826366
"4","021-A-0-F-088","L21","B6","D0","F",13.93391207,13.75648465,14.42147119,"L21_F_D0",0.0243332890829449
"5","021-A-0-F-089","L21","B6","D0","F",14.21065863,13.86338692,14.66176282,"L21_F_D0",0.264624919082958
"6","021-A-0-F-090","L21","B6","D0","F",14.14302854,13.83357077,14.61626464,"L21_F_D0",0.219126739082373
"7","021-A-0-F-091","L21","B6","D0","F",13.92379799,13.77794007,14.5306147,"L21_F_D0",0.13347679908263
"8","021-A-0-F-092","L21","B6","D0","F",13.88298508,13.55149916,14.29691142,"L21_F_D0",-0.100226480917165
"9","021-A-0-F-093","L21","B6","D0","F",13.83490232,13.32502516,14.30700732,"L21_F_D0",-0.0901305809172083
"10","021-A-0-F-095","L21","B6","D0","F",13.81708632,13.33393903,14.31634444,"L21_F_D0",-0.0807934609172045
"11","021-A-0-M-094","L21","B6","D0","M",13.71937712,13.46650209,14.15370864,"L21_M_D0",-0.243429260917205
"12","021-A-0-M-096","L21","B6","D0","M",14.0998651,13.91225262,14.77584625,"L21_M_D0",0.378708349082796
"13","021-A-0-M-097","L21","B6","D0","M",14.10805778,13.77006901,14.59720842,"L21_M_D0",0.200070519082795
"14","021-A-0-M-098","L21","B6","D0","M",13.82593404,13.66543513,14.34609115,"L21_M_D0",-0.051046750917205
"15","021-A-0-M-099","L21","B6","D0","M",14.10675154,13.89305563,14.61103762,"L21_M_D0",0.213899719082795
"16","021-A-0-M-100","L21","B6","D0","M",14.0949989,13.91134155,14.73124967,"L21_M_D0",0.334111769082796
"17","021-A-0-M-101","L21","B6","D0","M",14.07418649,13.96836939,14.70356497,"L21_M_D0",0.306427069082796
"18","021-A-0-M-102","L21","B6","D0","M",14.03897326,13.88277272,14.64542226,"L21_M_D0",0.248284359082796
"19","021-A-1-F-024","L21","B6","D1","F",14.13346089,13.84522867,14.61652291,"L21_F_D1",0.219385009082796
"20","021-A-1-F-026","L21","B6","D1","F",14.26957788,13.97287967,14.76859115,"L21_F_D1",0.371453249082796
"21","021-A-1-F-029","L21","B6","D1","F",14.05383509,13.65773819,14.40740169,"L21_F_D1",0.0102637890827959
"22","021-A-1-F-031","L21","B6","D1","F",14.13415554,NA,14.56621558,"L21_F_D1",0.169077679082795
"23","021-A-1-F-034","L21","B6","D1","F",13.7610794,13.40372121,14.09780307,"L21_F_D1",-0.299334830917205
"24","021-A-1-F-035","L21","B6","D1","F",14.03696949,13.61458174,14.39545949,"L21_F_D1",-0.00167841091720414
"25","021-A-1-F-036","L21","B6","D1","F",14.18696376,13.87616932,14.59872925,"L21_F_D1",0.201591349082795
"26","021-A-1-F-038","L21","B6","D1","F",14.06298217,13.76604158,14.63870472,"L21_F_D1",0.241566819082795
"27","021-A-1-F-039","L21","B6","D1","F",14.20213394,13.90446852,14.66706032,"L21_F_D1",0.269922419082795
"28","021-A-1-F-044","L21","B6","D1","F",14.04433315,13.71269069,14.46910814,"L21_F_D1",0.0719702390827949
"29","021-A-1-F-045","L21","B6","D1","F",14.17040071,13.82203989,14.62537207,"L21_F_D1",0.228234169082795
"30","021-A-1-F-046","L21","B6","D1","F",14.18683478,13.90177129,14.70582165,"L21_F_D1",0.308683749082796
"31","021-A-1-F-047","L21","B6","D1","F",14.12594678,13.76011564,14.49254989,"L21_F_D1",0.0954119890827949
"32","021-A-1-F-050","L21","B6","D1","F",14.15768934,13.93687274,14.63253591,"L21_F_D1",0.235398009082795
"33","021-A-1-F-051","L21","B6","D1","F",13.96086466,13.71709541,14.48455454,"L21_F_D1",0.087416639082795
"34","021-A-1-M-022","L21","B6","D1","M",13.91325232,13.80135136,14.40703247,"L21_M_D1",0.00989456908279626
"35","021-A-1-M-023","L21","B6","D1","M",13.82839717,13.68765938,14.41822715,"L21_M_D1",0.0210892490827954
"36","021-A-1-M-025","L21","B6","D1","M",13.9704712,13.79307276,14.5040995,"L21_M_D1",0.106961599082796
"37","021-A-1-M-027","L21","B6","D1","M",13.86315816,13.64664058,14.41854197,"L21_M_D1",0.0214040690827952
"38","021-A-1-M-028","L21","B6","D1","M",13.8145546,13.63715818,14.26726356,"L21_M_D1",-0.129874340917205
"39","021-A-1-M-032","L21","B6","D1","M",13.90220005,13.71543208,14.4778455,"L21_M_D1",0.0807075990827963
"40","021-A-1-M-033","L21","B6","D1","M",13.8594394,13.68978708,14.40785549,"L21_M_D1",0.0107175890827948
"41","021-A-1-M-037","L21","B6","D1","M",13.93498372,13.80159566,14.58812106,"L21_M_D1",0.190983159082796
"42","021-A-1-M-040","L21","B6","D1","M",13.88806561,13.70597803,14.36230936,"L21_M_D1",-0.0348285409172051
"43","021-A-1-M-041","L21","B6","D1","M",13.99343831,13.82522294,14.57022945,"L21_M_D1",0.173091549082795
"44","021-A-1-M-042","L21","B6","D1","M",13.96255548,13.76904577,14.47959926,"L21_M_D1",0.082461359082796
"45","021-A-1-M-043","L21","B6","D1","M",13.92723081,13.80564667,14.54040229,"L21_M_D1",0.143264389082795
"46","021-A-1-M-048","L21","B6","D1","M",13.98128428,13.78019641,14.40594286,"L21_M_D1",0.00880495908279518
"47","021-B-0-F-001","L21","B6","D0","F",14.17558492,13.74428708,14.55150489,"L21_F_D0",0.154366989082796
"48","021-B-0-F-006","L21","B6","D0","F",14.273976,13.95175848,14.69592059,"L21_F_D0",0.298782689082795
"49","021-B-0-F-008","L21","B6","D0","F",14.02082247,13.71527101,14.39548236,"L21_F_D0",-0.00165554091720369
"50","021-B-0-F-012","L21","B6","D0","F",13.93962285,13.56747945,14.27031833,"L21_F_D0",-0.126819570917204
"51","021-B-0-F-014","L21","B6","D0","F",13.77207588,13.50667909,14.17450169,"L21_F_D0",-0.222636210917205
"52","021-B-0-M-002","L21","B6","D0","M",13.98556721,13.81139012,14.53085445,"L21_M_D0",0.133716549082795
"53","021-B-0-M-003","L21","B6","D0","M",13.91370566,13.66711577,14.50974476,"L21_M_D0",0.112606859082796
"54","021-B-0-M-004","L21","B6","D0","M",13.92631911,13.79127916,14.45950208,"L21_M_D0",0.0623641790827955
"55","021-B-0-M-005","L21","B6","D0","M",14.08009927,13.90012514,14.6591467,"L21_M_D0",0.262008799082796
"56","021-B-0-M-007","L21","B6","D0","M",14.03735807,13.85276345,14.54918176,"L21_M_D0",0.152043859082795
"57","021-B-0-M-009","L21","B6","D0","M",14.07443198,13.85114717,14.59894543,"L21_M_D0",0.201807529082796
"58","021-B-0-M-010","L21","B6","D0","M",13.93414656,13.88658652,14.75484496,"L21_M_D0",0.357707059082795
"59","021-B-0-M-013","L21","B6","D0","M",13.78089851,13.48991803,14.35620653,"L21_M_D0",-0.0409313709172048
"60","021-B-0-M-015","L21","B6","D0","M",13.66733509,13.40161473,14.1981851,"L21_M_D0",-0.198952800917205
"61","021-B-1-F-053","L21","B6","D1","F",14.0286967,13.73619979,14.45352011,"L21_F_D1",0.056382209082795
"62","021-B-1-F-054","L21","B6","D1","F",14.06816942,13.74138056,14.50784724,"L21_F_D1",0.110709339082796
"63","021-B-1-F-055","L21","B6","D1","F",14.02097963,13.72603187,14.44800503,"L21_F_D1",0.0508671290827947
"64","021-B-1-F-057","L21","B6","D1","F",14.03810996,13.72206159,14.50753887,"L21_F_D1",0.110400969082795
"65","021-B-1-F-058","L21","B6","D1","F",13.83704991,13.5747619,14.28396753,"L21_F_D1",-0.113170370917204
"66","021-B-1-F-059","L21","B6","D1","F",14.03956729,13.69638461,14.46252782,"L21_F_D1",0.0653899190827955
"67","021-B-1-F-060","L21","B6","D1","F",13.93258045,13.67660032,14.42841857,"L21_F_D1",0.0312806690827953
"68","021-B-1-F-063","L21","B6","D1","F",13.67354207,13.34865025,14.10232591,"L21_F_D1",-0.294811990917205
"69","021-B-1-F-064","L21","B6","D1","F",14.02878558,13.75563393,14.48097557,"L21_F_D1",0.0838376690827955
"70","021-B-1-F-065","L21","B6","D1","F",13.97081543,13.62888271,14.44271393,"L21_F_D1",0.0455760290827955
"71","021-B-1-F-066","L21","B6","D1","F",14.1104068,13.81739567,14.53395925,"L21_F_D1",0.136821349082796
"72","021-B-1-F-067","L21","B6","D1","F",13.81765027,13.44415893,14.17294569,"L21_F_D1",-0.224192210917204
"73","021-B-1-F-068","L21","B6","D1","F",14.0105838,13.65872329,14.42022616,"L21_F_D1",0.0230882590827959
"74","021-B-1-F-069","L21","B6","D1","F",13.95366425,13.57709916,14.37026322,"L21_F_D1",-0.0268746809172045
"75","021-B-1-F-070","L21","B6","D1","F",14.00180588,13.68982499,14.49460092,"L21_F_D1",0.0974630190827954
