id,control_experiment,line,block,day_of_starvation,sex,wing,cell,leg,pupa,comments
365-A-0-F-031,EXPERIMENT,365,5,0,F,1430392,78,1001.289,,
365-A-1-M-045,EXPERIMENT,365,5,1,M,893533.5,89,838.3077,,
712-A-0-F-013,EXPERIMENT,712,5,0,F,1270679,73,982.314,,
774-B-0-F-055,EXPERIMENT,774,5,0,F,1523000,81,991.0491,,
774-B-2-F-094,EXPERIMENT,774,5,2,F,1104017,86,867.8839,,
C-05-17-362-B-1-M-063,CONTROL,362,7,1,M,1043243,75,860.6457,,
C-05-17-362-B-0-M-053,CONTROL,362,7,0,M,856544.5,77,795.5157,,
C-05-17-362-A-1-F-012,CONTROL,362,7,1,F,1271059,71,949.0784,,
C-05-17-362-B-1-F-087,CONTROL,362,7,1,F,1538298,62,1039.614,,
317-B-1-F-7742,EXPERIMENT,317,11,1,F,899083,85,794.3504,1001491.141,
796-B-2-M-096,EXPERIMENT,796,7,2,M,619759.8,103,708.7037,1001860.106,
379-B-2-M-066,EXPERIMENT,379,6,2,M,632142.4,90,,1006539.263,
818-B-2-M-7787,EXPERIMENT,818,11,2,M,743405.4,93,,1006853.224,
837-B-2-F-1476,EXPERIMENT,837,13,2,F,963876.4,71,794.0101,1008526.783,
379-B-2-F-095,EXPERIMENT,379,6,2,F,740272.6,81,752.0183,1009589.33,
774-B-2-M-099,EXPERIMENT,774,5,2,M,,69,714.2362,1010400,
324-A-2-F-047,EXPERIMENT,324,6,2,F,705827.4,95,710.9106,1011107.556,
861-A-2-M-053,EXPERIMENT,861,7,2,M,714642,59,743.3279,1012533.871,
911-B-1-M-096,EXPERIMENT,911,7,1,M,613137.5,79,679.1222,1016634.947,
038-B-2-F-6287,EXPERIMENT,38,11,2,F,1108597,69,849.6382,1026172.788,
796-A-1-M-034,EXPERIMENT,796,7,1,M,785656,100,896.3346,1027936.756,
105-A-1-M-7585,EXPERIMENT,105,11,1,M,744752.6,87,814.6936,1028288.167,
105-B-1-M-7570,EXPERIMENT,105,11,1,M,715542.4,95,751.2256,1030155.859,
861-B-1-M-101,EXPERIMENT,861,7,1,M,726114.3,90,740.8833,1030262.387,
559-A-2-M-053,EXPERIMENT,559,8,2,M,768405.1,99,764.8988,1030310.045,
379-B-2-M-069,EXPERIMENT,379,6,2,M,613206.1,93,681.5673,1031538.922,
324-A-2-F-046,EXPERIMENT,324,6,2,F,689344.6,77,738.0894,1034714.941,
855-B-1-M-090,EXPERIMENT,855,7,1,M,785877,88,740.9522,1034956.632,
595-B-1-F-104,EXPERIMENT,595,6,1,F,851249.4,80,729.4637,1035385.082,
C-02-17-208-A-2-M-050,CONTROL,208,5,2,M,712871.4,93,766.5686,1036542.939,
324-A-2-M-018,EXPERIMENT,324,6,2,M,602992.4,103,708.5502,1039627.048,
324-A-2-M-021,EXPERIMENT,324,6,2,M,651574.1,99,711.1742,1040314.674,
379-B-2-F-100,EXPERIMENT,379,6,2,F,743649.8,75,706.1298,1040369.14,
C-03-17-437-B-2-F-099,CONTROL,437,6,2,F,844648.9,57,850.6078,1042959.655,
317-B-1-M-7738,EXPERIMENT,317,11,1,M,,,811.1207,1043142.676,
761-B-1-M-062,EXPERIMENT,761,7,1,M,659767.8,105,,1044087.467,
776-A-2-M-048,EXPERIMENT,776,7,2,M,597770.9,108,,1044143.979,
105-B-1-M-7573,EXPERIMENT,105,11,1,M,756725.3,83,768.275,1046155.082,
101-B-2-M-091,EXPERIMENT,101,6,2,M,,93,745.046,1046435.234,
379-B-2-M-071,EXPERIMENT,379,6,2,M,678819.6,79,699.9896,1046922.019,
C-05-17-437-A-2-M-050,CONTROL,437,8,2,M,648108.1,68,691.5275,1050921.828,
C-03-17-362-B-2-M-096,CONTROL,362,6,2,M,551826.8,128,705.6189,1051081.821,
584-B-1-F-7029,EXPERIMENT,584,11,1,F,1050518,,859.6699,1051999.15,
563-B-1-F-3292,EXPERIMENT,563,10,1,F,729991.9,82,737.5201,1054459.865,
319-B-2-M-024,EXPERIMENT,319,8,2,M,703797.4,106,848.6824,1054805.899,
379-A-2-F-047,EXPERIMENT,379,6,2,F,790183,86,,1055547.991,
911-B-1-M-093,EXPERIMENT,911,7,1,M,633054.5,88,683.0745,1056924.547,
595-B-1-F-088,EXPERIMENT,595,6,1,F,831471.3,82,718.7827,1062867.611,
505-A-1-F-648,EXPERIMENT,505,12,1,F,1325540,67,1002.654,1062998.613,
392-B-1-F-084,EXPERIMENT,392,6,1,F,1130441,74,934.6539,1063298.268,
714-A-2-M-048,EXPERIMENT,714,6,2,M,732689.7,92,768.2489,1068020.588,
853-A-0-M-027,EXPERIMENT,853,7,0,M,1080503,83,1017.676,1070546.553,
857-A-1-M-050,EXPERIMENT,857,7,1,M,674587.1,102,708.7203,1071731.049,
317-B-0-F-6693,EXPERIMENT,317,11,0,F,980540,80,889.6177,1075395.504,
026-B-1-M-1283,EXPERIMENT,26,13,1,M,818064.4,82,873.2291,1077758.569,
C-04-17-208-B-2-M-098,CONTROL,208,7,2,M,694298.3,87,757.8342,1079311.965,
189-A-1-F-036,EXPERIMENT,189,5,1,F,1016120,76,838.8864,1079757.901,
177-A-2-F-092,EXPERIMENT,177,6,2,F,718382.4,82,680.2007,1080226.393,702.5241
371-A-2-M-043,EXPERIMENT,371,6,2,M,875855.7,89,842.7051,1082913.495,
776-A-2-M-045,EXPERIMENT,776,7,2,M,573834,91,717.8974,1083108.481,
303-B-1-M-074,EXPERIMENT,303,6,1,M,805149.6,99,804.1551,1083532.512,
492-B-2-M-100,EXPERIMENT,492,6,2,M,634132.3,84,685.6703,1083727.073,
057-A-2-M-051,EXPERIMENT,57,8,2,M,687771.4,99,696.0925,1083805.368,
360-B-2-M-100,EXPERIMENT,360,5,2,M,828207.9,86,818.1374,1084360.235,
796-A-1-M-045,EXPERIMENT,796,7,1,M,620355.5,104,750.6673,1084554.573,
861-B-1-M-103,EXPERIMENT,861,7,1,M,729936.7,93,748.666,1084642.774,
237-B-2-M-083,EXPERIMENT,237,6,2,M,712511.6,83,782.5488,1085017.054,
336-B-2-M-4701,EXPERIMENT,336,10,2,M,714439.5,92,726.992,1087473.985,
138-B-2-M-031,EXPERIMENT,138,6,2,M,650881.2,98,819.6058,1087799.168,
105-A-1-M-7589,EXPERIMENT,105,11,1,M,814791,87,858.3217,1088623.314,
105-A-1-M-7579,EXPERIMENT,105,11,1,M,670189,89,729.5749,1088904.472,
911-B-1-F-069,EXPERIMENT,911,7,1,F,644914.9,87,706.1121,1088938.911,
177-A-2-M-091,EXPERIMENT,177,6,2,M,645594.4,92,693.7347,1089230.433,725.78
513-B-1-M-535,EXPERIMENT,513,13,1,M,699754.1,93,697.4279,1089829.749,
911-B-1-M-090,EXPERIMENT,911,7,1,M,664914,86,733.869,1091522.852,
783-B-2-M-099,EXPERIMENT,783,7,2,F,658321.8,84,936.1711,1092149.381,is female
857-A-1-M-047,EXPERIMENT,857,7,1,M,870481.9,110,710.1298,1092298.58,
913-A-2-M-047,EXPERIMENT,913,7,2,M,702159,89,788.3921,1093590.5,
189-A-1-F-044,EXPERIMENT,189,5,1,F,809691.6,85,708.2313,1094000.626,
821-B-2-M-093,EXPERIMENT,821,7,2,M,,89,777.778,1095634.591,
