id,type,line,block,day,sex,wing,leg,pupa
365-A-0-F-031,exp,365,5,0,F,14.17345909,13.8180869,
365-A-1-M-045,exp,365,5,1,M,13.70293911,13.46277043,
712-A-0-F-013,exp,712,5,0,F,14.05506196,13.77982203,
774-B-0-F-055,exp,774,5,0,F,14.23619263,13.79752816,
774-B-2-F-094,exp,774,5,2,F,13.9144659,13.5321159,
C-05-17-362-B-1-M-063,ct,362,7,1,M,13.85784469,13.51536584,
C-05-17-362-B-0-M-053,ct,362,7,0,M,13.66066155,13.35798117,
C-05-17-362-A-1-F-012,ct,362,7,1,F,14.05536097,13.71098282,
C-05-17-362-B-1-F-087,ct,362,7,1,F,14.24618717,13.89320954,
317-B-1-F-7742,exp,317,11,1,F,13.70913063,13.35504935,13.81700059
796-B-2-M-096,exp,796,7,2,M,13.33708726,13.12687505,13.81736894
379-B-2-M-066,exp,379,6,2,M,13.35686996,,13.82202853
818-B-2-M-7787,exp,818,11,2,M,13.5189968,,13.82234041
837-B-2-F-1476,exp,837,13,2,F,13.77871835,13.35419236,13.82400119
379-B-2-F-095,exp,379,6,2,F,13.51477378,13.24552132,13.8250542
774-B-2-M-099,exp,774,5,2,M,,13.14242744,13.82585685
324-A-2-F-047,exp,324,6,2,F,13.46712601,13.13309337,13.82655688
861-A-2-M-053,exp,861,7,2,M,13.479537,13.22227453,13.82796653
911-B-1-M-096,exp,911,7,1,M,13.3263445,13.04160216,13.83200866
038-B-2-F-6287,exp,38,11,2,F,13.91860581,13.48962122,13.8413467
796-A-1-M-034,exp,796,7,1,M,13.57427432,13.59662756,13.8430642
105-A-1-M-7585,exp,105,11,1,M,13.52080736,13.40562418,13.843406
105-B-1-M-7570,exp,105,11,1,M,13.48079614,13.24341201,13.84522067
861-B-1-M-101,exp,861,7,1,M,13.49546272,13.21568625,13.84532407
559-A-2-M-053,exp,559,8,2,M,13.55207235,13.27948707,13.84537033
379-B-2-M-069,exp,379,6,2,M,13.32645637,13.04879,13.84656234
324-A-2-F-046,exp,324,6,2,F,13.44349657,13.20812991,13.84963653
855-B-1-M-090,exp,855,7,1,M,13.57455557,13.21587223,13.84987008
595-B-1-F-104,exp,595,6,1,F,13.65446043,13.18461921,13.85028398
C-02-17-208-A-2-M-050,ct,208,5,2,M,13.47705632,13.28384838,13.85140164
324-A-2-M-018,exp,324,6,2,M,13.30965987,13.12644182,13.8543726
324-A-2-M-021,exp,324,6,2,M,13.38714641,13.13383481,13.8550338
379-B-2-F-100,exp,379,6,2,F,13.5193255,13.11959815,13.85508615
C-03-17-437-B-2-F-099,ct,437,6,2,F,13.64667632,13.49190231,13.85757305
317-B-1-M-7738,exp,317,11,1,M,,13.39683374,13.85774852
761-B-1-M-062,exp,761,7,1,M,13.39964323,,13.85865382
776-A-2-M-048,exp,776,7,2,M,13.30096285,,13.85870795
105-B-1-M-7573,exp,105,11,1,M,13.53675559,13.28829548,13.86063217
101-B-2-M-091,exp,101,6,2,M,,13.22689192,13.86089993
379-B-2-M-071,exp,379,6,2,M,13.42811069,13.10213096,13.86136501
C-05-17-437-A-2-M-050,ct,437,8,2,M,13.38181278,13.07780584,13.86517827
C-03-17-362-B-2-M-096,ct,362,6,2,M,13.22098951,13.11815058,13.8653305
584-B-1-F-7029,exp,584,11,1,F,13.86479393,13.51309696,13.86620286
563-B-1-F-3292,exp,563,10,1,F,13.50078872,13.20658668,13.86853922
319-B-2-M-024,exp,319,8,2,M,13.46424581,13.48737006,13.86886733
379-A-2-F-047,exp,379,6,2,F,13.58001984,,13.86957061
911-B-1-M-093,exp,911,7,1,M,13.3583118,13.05320786,13.87087388
595-B-1-F-088,exp,595,6,1,F,13.63095206,13.15511817,13.87648111
505-A-1-F-648,exp,505,12,1,F,14.09733048,13.82081153,13.87660435
392-B-1-F-084,exp,392,6,1,F,13.93811838,13.6803526,13.87688621
714-A-2-M-048,exp,714,6,2,M,13.50447756,13.28822754,13.88131758
853-A-0-M-027,exp,853,7,0,M,13.89293723,13.85055375,13.88367987
857-A-1-M-050,exp,857,7,1,M,13.42185608,13.1269219,13.8847857
317-B-0-F-6693,exp,317,11,0,F,13.79585872,13.58158364,13.88819906
026-B-1-M-1283,exp,26,13,1,M,13.61469634,13.5443959,13.89039404
C-04-17-208-B-2-M-098,ct,208,7,2,M,13.45065697,13.26092926,13.89183433
189-A-1-F-036,exp,189,5,1,F,13.83150201,13.4641506,13.89224741
177-A-2-F-092,exp,177,6,2,F,13.4847573,13.0447758,13.8926812
371-A-2-M-043,exp,371,6,2,M,13.68295663,13.47323415,13.89516565
776-A-2-M-045,exp,776,7,2,M,13.26009543,13.15265332,13.89534569
303-B-1-M-074,exp,303,6,1,M,13.59878338,13.37958432,13.89573711
492-B-2-M-100,exp,492,6,2,M,13.36001289,13.0607938,13.89591665
057-A-2-M-051,exp,57,8,2,M,13.44121179,13.09096511,13.8959889
360-B-2-M-100,exp,360,5,2,M,13.62701949,13.41406059,13.89650073
796-A-1-M-045,exp,796,7,1,M,13.33804798,13.24192509,13.89667993
861-B-1-M-103,exp,861,7,1,M,13.5007131,13.23658591,13.89676125
237-B-2-M-083,exp,237,6,2,M,13.47655147,13.32511257,13.89710626
336-B-2-M-4701,exp,336,10,2,M,13.4792536,13.17783095,13.89936812
138-B-2-M-031,exp,138,6,2,M,13.38608242,13.41764699,13.8996671
105-A-1-M-7589,exp,105,11,1,M,13.61068692,13.50995794,13.90042444
105-A-1-M-7579,exp,105,11,1,M,13.41531504,13.18492407,13.90068268
911-B-1-F-069,exp,911,7,1,F,13.37687365,13.11954801,13.9007143
177-A-2-M-091,exp,177,6,2,M,13.37792672,13.08417922,13.90098198
513-B-1-M-535,exp,513,13,1,M,13.45848427,13.09479828,13.90153205
911-B-1-M-090,exp,911,7,1,M,13.40741299,13.19666108,13.90308439
783-B-2-M-099,exp,783,7,2,F,13.39744915,13.68359652,13.90365822
857-A-1-M-047,exp,857,7,1,M,13.67680225,13.13089554,13.90379482
913-A-2-M-047,exp,913,7,2,M,13.46191515,13.33999111,13.90497688
189-A-1-F-044,exp,189,5,1,F,13.60440871,13.12554147,13.90535183
821-B-2-M-093,exp,821,7,2,M,,13.31288227,13.90684429
091-B-2-M-071,exp,91,6,2,M,13.53180935,,13.90684674
787-A-0-M-011,exp,787,7,0,M,13.87683705,13.62903398,13.90685672
913-A-2-M-051,exp,913,7,2,M,13.43713266,13.46155261,13.90876789
819-B-1-M-104,exp,819,8,1,M,13.37362485,13.12941752,13.90898358
391-A-2-M-043,exp,391,6,2,M,13.56510898,13.19639071,13.9091005
031-A-2-F-043,exp,31,8,2,F,13.71596643,,13.91232854
855-B-1-M-091,exp,855,7,1,M,13.47035487,13.31579949,13.91536754
177-A-2-M-090,exp,177,6,2,M,13.4527326,13.03633787,13.91538506
352-A-1-M-5513,exp,352,10,1,M,13.37502969,13.0188514,13.92053283
513-B-0-F-59,exp,513,13,0,F,13.41457065,13.14714049,13.92213983
C-04-17-375-B-2-F-091,ct,375,7,2,F,13.66999253,13.39591752,13.92274599
136-B-2-M-4334,exp,136,10,2,M,13.51788643,13.22796754,13.92278132
C-04-17-208-B-1-F-072,ct,208,7,1,F,13.54943132,13.41125885,13.92372711
911-A-2-M-044,exp,911,7,2,M,13.34256468,,13.92445137
176-A-1-M-043,exp,176,6,1,M,13.47215424,13.2220956,13.92462961
313-A-1-F-7452,exp,313,11,1,F,,13.21498777,13.92492191
C-03-17-437-B-2-F-100,ct,437,6,2,F,13.45908201,13.17278988,13.92521376
732-B-2-M-078,exp,732,4,2,M,13.69449774,13.42019488,13.92561397
177-A-2-M-096,exp,177,6,2,M,13.42471005,12.99581024,13.92568646
911-B-2-F-074,exp,911,7,2,F,13.54528444,13.17480882,13.92662364
513-B-0-M-61,exp,513,13,0,M,13.44222354,13.19728861,13.92668449
101-B-2-F-097,exp,101,6,2,F,13.45291067,13.1341028,13.92864264
796-A-1-M-031,exp,796,7,1,M,13.50160223,13.53369659,13.92881292
