line,ltf,w1f
21,48.77,25.86
26,16.14,15.50
28,37.09,20.59
38,33.23,22.23
41,37.91,19.59
42,18.41,16.32
45,62.23,33.50
49,35.73,30.45
57,40.41,24.32
59,60.32,34.09
69,24.38,13.69
73,55.59,36.41
75,67.91,41.14
80,28.55,22.23
83,11.18,6.91
85,46.91,27.36
88,34.32,23.64
91,42.59,33.50
93,48.41,23.24
101,69.00,40.82
105,25.73,14.09
109,85.27,43.55
129,14.32,12.00
136,39.05,28.68
138,16.82,13.82
142,32.14,15.14
149,40.45,33.82
153,35.09,28.14
158,25.55,18.41
161,18.45,14.82
176,42.68,19.00
177,23.64,19.18
181,27.41,19.86
189,12.64,10.77
195,53.00,31.86
208,77.91,39.45
217,38.59,22.59
223,57.27,43.45
227,21.59,15.41
228,29.91,15.73
229,14.09,12.55
233,22.62,18.95
235,6.11,6.56
237,77.73,41.36
239,29.45,20.00
256,18.27,12.14
272,34.86,27.14
280,52.14,32.45
287,28.64,17.18
301,40.64,33.41
303,51.23,38.95
304,62.00,30.30
306,14.86,10.36
307,12.48,12.26
309,69.50,39.45
310,29.91,24.50
313,12.59,12.86
315,11.77,10.23
317,20.41,11.41
318,64.09,39.45
319,39.68,18.05
324,46.45,31.91
325,36.23,31.91
332,18.27,11.91
335,52.91,37.27
336,22.42,18.95
338,45.05,29.64
340,42.41,33.73
350,29.64,19.82
352,44.82,29.59
356,38.59,26.23
357,15.64,13.68
358,40.36,22.45
359,57.55,33.91
360,45.05,32.55
361,45.14,24.64
362,45.23,24.50
365,51.81,35.57
367,47.23,37.14
370,39.95,28.55
371,19.77,13.64
373,40.55,22.73
374,60.59,25.82
375,68.59,41.50
377,23.05,15.77
378,55.36,34.95
379,34.00,20.00
380,64.73,37.64
381,28.76,22.04
382,9.05,9.00
383,18.00,14.95
385,6.95,6.55
386,76.21,44.67
387,54.77,29.18
391,71.50,28.09
392,46.64,29.41
393,49.14,34.00
398,37.00,34.09
399,10.41,8.14
409,29.36,29.09
426,41.77,28.23
427,66.62,51.86
437,43.45,30.27
440,52.55,40.64
441,49.64,35.36
443,54.68,34.18
461,12.17,11.92
476,15.36,14.23
486,23.32,17.41
491,27.86,13.45
492,15.50,12.59
502,59.82,43.77
508,26.86,21.64
509,33.56,26.22
514,54.32,29.77
517,43.45,24.68
535,54.55,32.55
554,56.18,32.45
555,54.50,32.32
556,23.32,19.41
563,71.05,45.77
584,5.18,4.32
589,22.09,19.68
591,30.09,19.09
595,29.36,27.00
639,29.86,19.32
642,31.86,19.32
646,11.50,6.64
703,53.36,47.92
705,6.74,6.65
707,18.77,16.82
712,46.77,36.00
714,33.59,21.45
716,47.55,27.00
721,43.50,32.73
727,13.44,13.44
730,44.32,33.00
732,34.00,24.41
737,23.41,21.32
738,79.18,47.77
748,39.36,20.95
750,60.86,34.86
757,12.75,11.63
761,33.14,22.27
765,34.18,23.55
771,60.32,46.23
774,50.09,31.00
776,38.36,33.91
783,57.73,39.91
786,61.05,24.32
787,40.86,20.91
790,11.14,10.36
796,36.95,31.18
799,12.86,12.68
801,40.32,26.41
802,18.45,5.91
804,56.33,40.40
805,30.14,28.86
808,34.00,22.68
810,15.05,6.68
812,29.09,23.41
818,34.14,27.91
819,27.82,21.23
820,33.45,21.95
821,76.84,36.68
822,24.82,20.14
832,21.43,21.43
837,20.50,15.86
843,13.36,7.18
849,1.73,0.82
850,34.73,25.32
852,33.55,20.09
853,49.91,30.45
855,12.50,11.59
857,31.91,23.68
861,32.64,21.45
879,34.91,29.18
882,28.77,28.77
884,13.50,11.32
887,11.68,11.68
890,30.77,18.27
892,15.14,12.50
894,15.09,13.27
897,14.86,11.95
900,66.55,43.95
907,30.09,25.82
908,44.77,36.14
911,27.45,25.82
913,98.86,52.09
,,
